Date	Time	---	cm/s
980813	5:18	862	7.82
980813	5:28	862	9.78
980813	5:38	862	8.31
980813	5:48	862	5.38
980813	5:58	862	5.87
980813	6:08	862	7.82
980813	6:18	862	7.33
980813	6:28	862	3.91
980813	6:38	862	9.29
980813	6:48	862	4.89
980813	6:58	862	6.84
980813	7:08	862	6.84
980813	7:18	862	7.82
980813	7:28	862	6.84
980813	7:38	862	6.84
980813	7:48	862	7.33
980813	7:58	862	7.33
980813	8:08	862	4.4
980813	8:18	862	3.91
980813	8:28	862	0.49
980813	8:38	862	2.44
980813	8:48	862	1.47
980813	8:58	862	0
980813	9:08	862	1.47
980813	9:18	862	3.42
980813	9:28	862	6.36
980813	9:38	862	1.47
980813	9:48	862	5.87
980813	9:58	862	3.42
980813	10:08	862	5.38
980813	10:18	862	7.33
980813	10:28	862	2.93
980813	10:38	862	0.49
980813	10:48	862	3.91
980813	10:58	862	5.87
980813	11:08	862	7.33
980813	11:18	862	100.22
980813	11:28	862	156.45
980813	11:38	862	154
980813	11:48	862	172.58
980813	11:58	862	145.2
980813	12:08	862	150.09
980813	12:18	862	120.76
980813	12:28	862	121.25
980813	12:38	862	142.27
980813	12:48	862	148.63
980813	12:58	862	173.07
980813	13:08	862	169.65
980813	13:18	862	141.29
980813	13:28	862	132
980813	13:38	862	159.38
980813	13:48	862	165.74
980813	13:58	862	166.23
980813	14:08	862	175.52
980813	14:18	862	183.83
980813	14:28	862	169.65
980813	14:38	862	192.14
980813	14:48	862	147.16
980813	14:58	862	127.6
980813	15:08	862	123.69
980813	15:18	862	154
980813	15:28	862	157.91
980813	15:38	862	136.4
980813	15:48	862	151.56
980813	15:58	862	29.82
980813	16:08	862	5.38
980813	16:18	862	6.84
980813	16:28	862	7.82
980813	16:38	862	6.84
980813	16:48	862	6.36
980813	16:58	862	0.49
980813	17:08	862	1.47
980813	17:18	862	5.87
980813	17:28	862	2.93
980813	17:38	862	0.98
980813	17:48	862	0.98
980813	17:58	862	1.96
980813	18:08	862	1.96
980813	18:18	862	0.98
980813	18:28	862	1.47
980813	18:38	862	1.96
980813	18:48	862	0
980813	18:58	862	1.47
980813	19:08	862	4.4
980813	19:18	862	0.49
980813	19:28	862	0.49
980813	19:38	862	1.47
980813	19:48	862	0.98
980813	19:58	862	2.93
980813	20:08	862	3.91
980813	20:18	862	2.93
980813	20:28	862	2.93
980813	20:38	862	4.4
980813	20:48	862	3.91
980813	20:58	862	0.98
980813	21:08	862	5.38
980813	21:18	862	3.42
980813	21:28	862	1.96
980813	21:38	862	4.89
980813	21:48	862	3.91
980813	21:58	862	2.93
980813	22:08	862	0.49
980813	22:18	862	1.47
980813	22:28	862	5.38
980813	22:38	862	4.89
980813	22:48	862	4.89
980813	22:58	862	5.87
980813	23:08	862	10.27
980813	23:18	862	28.36
980813	23:28	862	169.16
980813	23:38	862	183.34
980813	23:48	862	214.14
980813	23:58	862	194.09
980814	0:08	862	192.63
980814	0:18	862	183.34
980814	0:28	862	203.38
980814	0:38	862	197.03
980814	0:48	862	177.47
980814	0:58	862	199.96
980814	1:08	862	182.36
980814	1:18	862	199.47
980814	1:28	862	203.38
980814	1:38	862	173.07
980814	1:48	862	187.74
980814	1:58	862	198.98
980814	2:08	862	170.14
980814	2:18	862	164.27
980814	2:28	862	155.47
980814	2:38	862	164.27
980814	2:48	862	170.14
980814	2:58	862	159.87
980814	3:08	862	160.85
980814	3:18	862	177.47
980814	3:28	862	159.38
980814	3:38	862	168.67
980814	3:48	862	154.98
980814	3:58	862	160.85
980814	4:08	862	174.54
980814	4:18	862	93.87
980814	4:28	862	2.44
980814	4:38	862	9.29
980814	4:48	862	9.29
980814	4:58	862	11.73
980814	5:08	862	12.71
980814	5:18	862	8.8
980814	5:28	862	9.78
980814	5:38	862	5.38
980814	5:48	862	10.76
980814	5:58	862	5.38
980814	6:08	862	5.87
980814	6:18	862	7.33
980814	6:28	862	6.36
980814	6:38	862	6.36
980814	6:48	862	7.33
980814	6:58	862	4.4
980814	7:08	862	6.84
980814	7:18	862	3.91
980814	7:28	862	7.82
980814	7:38	862	6.84
980814	7:48	862	2.44
980814	7:58	862	2.44
980814	8:08	862	2.93
980814	8:18	862	4.89
980814	8:28	862	5.38
980814	8:38	862	6.36
980814	8:48	862	6.84
980814	8:58	862	3.42
980814	9:08	862	4.4
980814	9:18	862	4.4
980814	9:28	862	1.96
980814	9:38	862	2.93
980814	9:48	862	2.44
980814	9:58	862	2.44
980814	10:08	862	3.91
980814	10:18	862	3.42
980814	10:28	862	4.89
980814	10:38	862	7.33
980814	10:48	862	9.78
980814	10:58	862	10.76
980814	11:08	862	7.82
980814	11:18	862	10.27
980814	11:28	862	8.31
980814	11:38	862	11.24
980814	11:48	862	8.31
980814	11:58	862	7.82
980814	12:08	862	4.89
980814	12:18	862	87.02
980814	12:28	862	149.11
980814	12:38	862	142.76
980814	12:48	862	165.25
980814	12:58	862	109.51
980814	13:08	862	147.16
980814	13:18	862	131.51
980814	13:28	862	133.47
980814	13:38	862	144.71
980814	13:48	862	136.4
980814	13:58	862	171.12
980814	14:08	862	132.49
980814	14:18	862	161.34
980814	14:28	862	150.58
980814	14:38	862	160.85
980814	14:48	862	126.14
980814	14:58	862	154.98
980814	15:08	862	158.4
980814	15:18	862	161.83
980814	15:28	862	143.25
980814	15:38	862	134.45
980814	15:48	862	138.36
980814	15:58	862	126.63
980814	16:08	862	139.34
980814	16:18	862	143.25
980814	16:28	862	134.94
980814	16:38	862	105.6
980814	16:48	862	5.38
980814	16:58	862	3.42
980814	17:08	862	9.29
980814	17:18	862	9.78
980814	17:28	862	10.27
980814	17:38	862	7.33
980814	17:48	862	5.38
980814	17:58	862	2.93
980814	18:08	862	2.93
980814	18:18	862	0.98
980814	18:28	862	1.96
980814	18:38	862	3.91
980814	18:48	862	0.98
980814	18:58	862	5.38
980814	19:08	862	4.89
980814	19:18	862	3.42
980814	19:28	862	4.4
980814	19:38	862	2.93
980814	19:48	862	2.93
980814	19:58	862	2.93
980814	20:08	862	3.42
980814	20:18	862	4.4
980814	20:28	862	2.93
980814	20:38	862	2.93
980814	20:48	862	2.93
980814	20:58	862	1.96
980814	21:08	862	6.84
980814	21:18	862	3.91
980814	21:28	862	3.42
980814	21:38	862	7.82
980814	21:48	862	8.31
980814	21:58	862	5.87
980814	22:08	862	6.84
980814	22:18	862	9.29
980814	22:28	862	10.76
980814	22:38	862	4.4
980814	22:48	862	5.38
980814	22:58	862	6.84
980814	23:08	862	2.93
980814	23:18	862	6.36
980814	23:28	862	6.36
980814	23:38	862	1.96
980814	23:48	862	5.87
980814	23:58	862	6.84
980815	0:08	862	7.33
